register;register_hex;in_main;in_display;main_name;display_name;main_type;display_type;main_unit;display_unit;main_mode;display_mode;main_function;display_function;main_block;display_block;main_code;display_code;main_value_map;display_value_map;main_bit_map;display_bit_map;main_notes;display_notes;differences;classification;remark
1014;0x03F6;yes;no;Zentralregler zum Abtauen zulassen bei D26-1;;DIGI1;;;;r/w;;06;;;;;;"{""0"":""nicht zulassen"",""1"":""zulassen""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1015;0x03F7;yes;no;Sprachauswahl;;RAW;;;;r/w;;03/16;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1016;0x03F8;yes;no;Manuelle Steuerung / Silent Status;;DIGI1;;;;r/w;;03/16;;;;;;;;"{""0"":""Manuelles Abtauen"",""1"":""Silent Mode / Silent Status"",""2"":""Eine Taste manuelle Heizung""}";;;;;MAIN_ONLY;Register exists only in main mapping.
1017;0x03F9;yes;no;Logo-Auswahl;;RAW;;;;r/w;;03/06;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1018;0x03FA;yes;no;Power Off Memory aktivieren (Autostart);;DIGI1;;;;r/w;;03/16;;H;;H01;;"{""0"":""Nein"",""1"":""Ja""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1019;0x03FB;yes;no;Lüftermotorantrieb und Kompressorantrieb integriert;;DIGI1;;;;r/w;;03/16;;H;;H33;;"{""0"":""Nein"",""1"":""Ja""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1020;0x03FC;yes;no;ERP Testmodus;;DIGI1;;;;r/w;;03/16;;H;;H34;;"{""0"":""Nein / kein ERP-Test"",""1"":""35 °C Testbedingung"",""2"":""55 °C Testbedingung""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1021;0x03FD;yes;no;Kühlfunktion aktivieren;;DIGI1;;;;r/w;;03/16;;H;;H05;;"{""0"":""Kühlfunktion nicht vorhanden/aus"",""1"":""Kühlfunktion vorhanden/ein""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1022;0x03FE;yes;no;Reserviert;;RAW;;;;r/w;;03/16;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1023;0x03FF;yes;no;Reglerwahl;;DIGI1;;;;r/w;;03/16;;H;;H07;;"{""0"":""Master/Hauptregler"",""1"":""Slave/Nebenregler""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1024;0x0400;yes;no;Geräteadresse;;DIGI1;;;;r/w;;03/16;;H;;H10;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1025;0x0401;yes;yes;Spracheinstellung;Spracheinstellung;RAW;RAW;;;r/w;r/w;03/16;03/16;H;H;H38;H38;;;;;Aus Display-Firmware: H38 nutzt Kommunikationsvariable 0401H = 1025 dez. Value Map noch offen, da Werte nicht sicher bekannt sind. H38 ist nicht External Pump Selection.;Aus Display-Firmware: H38 nutzt Kommunikationsvariable 0401H = 1025 dez. Value Map noch offen, da Werte nicht sicher bekannt sind. H38 ist nicht External Pump Selection.;;IDENTICAL;Relevant fields are identical.
1026;0x0402;yes;no;Logo-Auswahl / Kundenlogo-Code (ASM);;RAW;;;;r/w;;03/16;;H;;H39;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1027;0x0403;yes;no;EVI aktivieren;;DIGI1;;;;r/w;;03/16;;H;;H27;;"{""0"":""kein EVI"",""1"":""EVI bei Kühlung"",""2"":""EVI bei Heizung"",""3"":""EVI bei Heizung und Kühlung""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1028;0x0404;yes;no;Heiz-/Kühl- und Warmwasserfunktion aktiviert;;DIGI1;;;;r/w;;03/16;;H;;H28;;"{""0"":""ohne Warmwasserfunktion"",""1"":""mit Warmwasserfunktion"",""2"":""Nur Warmwasser / Only DHW""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1029;0x0405;yes;no;Temperatureinheit;;DIGI1;;;;r/w;;03/16;;H;;H21;;"{""0"":""Celsius"",""1"":""Fahrenheit""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1030;0x0406;yes;no;Silent-Modus aktivieren;;DIGI1;;;;r/w;;03/16;;H;;H22;;"{""0"":""Silent-Modus aus"",""1"":""Silent-Modus ein""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1031;0x0407;yes;no;Electric Heater Off Temp Diff / E-Heizer Ausschalt-Temperaturdifferenz;;TEMP05;;°C;;r/w;;03/16;;A;;A35;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1032;0x0408;yes;no;Elektrische Heizstufe;;DIGI1;;;;r/w;;03/16;;H;;H18;;"{""1"":""Elektrische Heizstufe 1"",""2"":""Elektrische Heizstufe 2"",""3"":""Elektrische Heizstufe 3""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1033;0x0409;yes;no;3-Wege-Ventil-Polarität;;DIGI1;;;;r/w;;03/16;;H;;H20;;"{""0"":""3-Wege-Ventil EIN im Warmwasser-Modus"",""1"":""3-Wege-Ventil AUS im Warmwasser-Modus""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1034;0x040A;yes;no;Operationscode;;DIGI1;;;;r/w;;03/16;;H;;H29;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1035;0x040B;yes;no;Temp.-Regelauswahl;;DIGI1;;;;r/w;;03/16;;H;;H25;;"{""0"":""Auslasswassertemperatur"",""1"":""Raumtemperatur"",""2"":""Puffertanktemperatur"",""3"":""Einlasswassertemperatur""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1036;0x040C;yes;no;Indoor Unit Type / Hydraulikmodul-Typ;;RAW;;;;r/w;;03/16;;H;;H30;;"{""0"":""None"",""1"":""1st Type"",""2"":""2nd Type"",""3"":""3rd Type""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1037;0x040D;yes;no;Abschalttemperatur Umgebung;;TEMP1;;;;r/w;;03/16;;A;;A03;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1038;0x040E;yes;no;Frostschutztemperatur;;TEMP1;;;;r/w;;03/16;;A;;A04;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1039;0x040F;yes;no;Frostschutztemperaturdifferenz;;TEMP1;;;;r/w;;03/16;;A;;A05;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1040;0x0410;yes;no;Max. Abgastemperatur;;TEMP1;;;;r/w;;03/16;;A;;A06;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1041;0x0411;yes;no;Zirkulationswasserpumpentyp;;DIGI1;;;;r/w;;03/16;;H;;H31;;"{""0"":""keine Durchflusserkennung"",""1"":""Grundfos 25-75"",""2"":""Grundfos 25-105"",""3"":""Grundfos 25-125"",""4"":""APM25 9-130"",""5"":""APM25 12-130""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1042;0x0412;yes;no;Niederdrucksensor aktivieren;;DIGI1;;;;r/w;;03/16;;A;;A11;;"{""0"":""Nein"",""1"":""Ja""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1043;0x0413;yes;no;Min. Auslasswassertemperatur schutz;;TEMP1;;;;r/w;;03/16;;A;;A23;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1044;0x0414;yes;no;Übermäßige Temperaturdifferenz zwischen Einlass- und Auslasswasser;;TEMP1;;;;r/w;;03/16;;A;;A24;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1045;0x0415;yes;no;Erzwungene Umschaltzeit;;DIGI1;;;;r/w;;03/16;;H;;H32;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1046;0x0416;yes;no;Wassertank-Temperaturquelle;;DIGI1;;;;r/w;;03/16;;H;;H37;;"{""0"":""Wärmepumpe / Wassertank-Temperatursensor"",""1"":""Modbus / Zentralregler""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1047;0x0417;yes;no;Zentrale Abtaufunktion aktivieren;;DIGI1;;;;r/w;;03/16;;D;;D26;;"{""0"":""Nein"",""1"":""Ja""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1048;0x0418;yes;no;External Pump Selection (Code unbekannt / nicht H37);;RAW;;;;r/w;;03/16;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1049;0x0419;yes;no;Electric-Heater-On AT Grenzwert / Temperaturparameter (ASM);;TEMP1;;;;r/w;;03/16;;A;;A31;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1050;0x041A;yes;no;Electric Heater Delays Comp on Time;;MINUTES;;min;;r/w;;03/16;;A;;A32;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1051;0x041B;yes;no;Min. Umgebungstemperatur im Kühlmodus;;TEMP1;;;;r/w;;03/16;;A;;A30;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1052;0x041C;yes;no;Umgebungs-/Saug-/Spulensensortyp;;DIGI1;;;;r/w;;03/16;;A;;A21;;"{""0"":""5K Sensortyp"",""1"":""2K Sensortyp""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1053;0x041D;yes;no;Min. Frostschutztemperatur;;TEMP1;;;;r/w;;03/16;;A;;A22;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1054;0x041E;yes;no;Kältemitteltyp;;DIGI1;;;;r/w;;03/16;;A;;A26;;"{""0"":""R32"",""1"":""R290"",""2"":""R32-1"",""3"":""R290-1"",""4"":""R32-2"",""5"":""R290-2"",""6"":""R32-3"",""7"":""R290-3""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1055;0x041F;yes;no;Minimale Verdampfungstemperatur der Kühlung;;TEMP1;;;;r/w;;03/16;;A;;A25;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1056;0x0420;yes;no;Temperaturdifferenz der Begrenzungsfrequenz;;TEMP1;;;;r/w;;03/16;;A;;A27;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1057;0x0421;yes;no;Temperaturdifferenz zwischen Auslass- und WW-Temperatur;;TEMP1;;;;r/w;;03/16;;A;;A28;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1058;0x0422;yes;no;Hochdrucksensor aktivieren;;DIGI1;;;;r/w;;03/16;;A;;A29;;"{""0"":""Nein"",""1"":""Ja""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1059;0x0423;yes;no;Lüftermotortyp;;DIGI1;;;;r/w;;03/16;;F;;F01;;"{""0"":""Legacy: Hochgeschwindigkeits-Lüfter"",""1"":""Legacy: zweistufiger Lüfter"",""3"":""DC Fan Motor"",""4"":""DC Fan Motor External Drive""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1060;0x0424;yes;no;Verdampfertemperatur für maximale Lüfterdrehzahl im Kühlbetrieb;;TEMP1;;;;r/w;;03/16;;F;;F02;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1061;0x0425;yes;yes;Fan Motor Power Curve / Lüftermotor-Leistungskurve;Fan Motor Power Curve / Lüftermotor-Leistungskurve;RAW;RAW;rpm;rpm;r/w;r/w;03/16;03/16;F;F;F27;F27;;;;;;;;IDENTICAL;Relevant fields are identical.
1062;0x0426;yes;no;Verdampfertemperatur für minimale Lüfterdrehzahl im Kühlbetrieb;;TEMP1;;;;r/w;;03/16;;F;;F03;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1063;0x0427;yes;no;E-Heizer Einschalt-Temperaturdifferenz;;TEMP1;;°C;;r/w;;03/16;;A;;A33;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1064;0x0428;yes;no;Kurbelgehäuseheizung Vorheizzeit;;MINUTES;;min;;r/w;;03/16;;A;;A34;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1065;0x0429;yes;no;Reserviert;;RAW;;;;r/w;;03/16;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1066;0x042A;yes;no;Verdampfertemperatur für maximale Lüfterdrehzahl im Heizbetrieb;;TEMP1;;;;r/w;;03/16;;F;;F05;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1067;0x042B;yes;no;Reserviert;;RAW;;;;r/w;;03/16;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1068;0x042C;yes;no;Verdampfertemperatur für minimale Lüfterdrehzahl im Heizbetrieb;;TEMP1;;;;r/w;;03/16;;F;;F06;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1069;0x042D;yes;no;Mehrzonenregelung aktivieren;;DIGI1;;;;r/w;;03/16;;Z;;Z01;;"{""0"":""Keine Zone"",""1"":""Zone 1-S"",""2"":""Zone 2-S"",""3"":""Zone 1+2-S"",""4"":""Zone 1-T"",""5"":""Zone 2-T"",""6"":""Zone 1+2-T"",""7"":""Zone 1-P"",""8"":""Zone 2-P"",""9"":""Zone 1+2-P""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1070;0x042E;yes;no;Zone 1 Raumtemperatur-Sollwert;;TEMP1;;;;r/w;;03/16;;Z;;Z02;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1071;0x042F;yes;no;Zone 1 Raumtemperatur-Differenz zum Start;;TEMP1;;K;;r/w;;03/16;;Z;;Z03;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1072;0x0430;yes;no;Zone 2 Raumtemperatur-Sollwert;;TEMP1;;;;r/w;;03/16;;Z;;Z04;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1073;0x0431;yes;no;Zone 2 Raumtemperatur-Differenz zum Start;;TEMP1;;K;;r/w;;03/16;;Z;;Z05;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1074;0x0432;yes;no;Lüfteranzahl;;DIGI1;;;;r/w;;03/16;;F;;F10;;"{""0"":""Einzellüfter"",""1"":""Doppellüfter""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1075;0x0433;yes;no;Zone 1 Heizungs-Auslasswasser-Sollwert;;TEMP1;;;;r/w;;03/16;;Z;;Z06;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1076;0x0434;yes;no;Zone 2 Mischwasser-Auslasswasser-Sollwert;;TEMP1;;;;r/w;;03/16;;Z;;Z07;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1077;0x0435;yes;no;AT-Kompensationskurve Zone 2 aktivieren;;DIGI1;;;;r/w;;03/16;;Z;;Z17;;"{""0"":""Nein"",""1"":""Ja""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1078;0x0436;yes;no;Zone2 Heizkurve K / Raumtemperatur-Kompensation (ASM);;RAW;;;;r/w;;03/16;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1079;0x0437;yes;no;Zone2 Heizkurve B / Raumtemperatur-Kompensation (ASM);;RAW;;;;r/w;;03/16;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1080;0x0438;yes;no;Mischventil manuelle Stellrate (0% = Auto-Regelung);;PERCENT;;%;;r/w;;03/16;;Z;;Z08;;"{""0"":""Manuell"",""1"":""Auto""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1081;0x0439;yes;no;Min. Lüfterdrehzahl im Kühlbetrieb;;DIGI1;;rpm;;r/w;;03/16;;F;;F18;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1082;0x043A;yes;no;Mischventil Öffnungszeit;;SECONDS;;s;;r/w;;03/16;;Z;;Z09;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1083;0x043B;yes;no;Min. Lüfterdrehzahl im Heizbetrieb;;DIGI1;;rpm;;r/w;;03/16;;F;;F19;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1084;0x043C;yes;no;Mischventil Schließzeit;;SECONDS;;s;;r/w;;03/16;;Z;;Z10;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1085;0x043D;yes;no;Mischventil Regelung P-Anteil (PID);;DIGI5;;;;r/w;;03/16;;Z;;Z11;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1086;0x043E;yes;no;Timer-Stummschaltung aktivieren (ASM V1.3: 243E);;DIGI1;;;;r/w;;03/16;;F;;F21;;"{""0"":""Aus"",""1"":""Ein""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1087;0x043F;yes;no;Manuelle Lüfterdrehzahl aktivieren;;DIGI1;;;;r/w;;03/16;;F;;F22;;"{""0"":""Nein"",""1"":""Ja""}";;;;;;;MAIN_ONLY;Register exists only in main mapping.
1088;0x0440;yes;no;Mischventil Regelung I-Anteil (PID);;DIGI5;;;;r/w;;03/16;;Z;;Z12;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1089;0x0441;yes;no;Nenn-DC-Lüftermotordrehzahl;;DIGI1;;rpm;;r/w;;03/16;;F;;F23;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1090;0x0442;yes;no;Mischventil PID-Zyklus;;MINUTES;;min;;r/w;;03/16;;Z;;Z13;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1091;0x0443;yes;no;Blockkopf Paket 2 / Kennung Wort 1 / ASCII Zeichen 1-2;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1092;0x0444;yes;no;Blockkopf Paket 2 / Kennung Wort 2 / ASCII Zeichen 3-4;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1093;0x0445;yes;no;Blockkopf Paket 2 / Kennung Wort 3 / ASCII Zeichen 5-6;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1094;0x0446;yes;no;Blockkopf Paket 2 / Kennung Wort 4 / ASCII Zeichen 7-8;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1095;0x0447;yes;no;Blockkopf Paket 2 / Kennung Wort 5 / ASCII Zeichen 9-10;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1096;0x0448;yes;no;Blockkopf Paket 2 / Kennung Wort 6 / ASCII Zeichen 11-12;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1097;0x0449;yes;no;Blockkopf Paket 2 / Reserve 1;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1098;0x044A;yes;no;Blockkopf Paket 2 / Reserve 2;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1099;0x044B;yes;no;Blockkopf Paket 2 / Marker-Länge;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1100;0x044C;yes;no;Blockkopf Paket 2 / erstes Blockkopf-Register;;BLOCK;;;;read;;03;;;;;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1101;0x044D;yes;no;Verdampfertemperatur des Einzel-/Doppellüfterschalters im Kühlbetrieb;;TEMP1;;;;r/w;;03/16;;F;;F28;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1102;0x044E;yes;no;Verdampfertemperatur des Einzellüfterstopps im Kühlbetrieb;;TEMP1;;;;r/w;;03/16;;F;;F29;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1103;0x044F;yes;no;Max. Lüfterdrehzahl im Kühlbetrieb;;RPM;;rpm;;r/w;;03/16;;F;;F25;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1104;0x0450;yes;no;Max. Lüfterdrehzahl im Heizbetrieb;;RPM;;rpm;;r/w;;03/16;;F;;F26;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1105;0x0451;yes;no;Umgebungstemperatur des Start-Abtauens;;TEMP1;;;;r/w;;03/16;;D;;D01;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1106;0x0452;yes;no;Heizbetriebszeit vor dem Abtauen;;MINUTES;;min;;r/w;;03/16;;D;;D02;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1107;0x0453;yes;no;Intervallzeit zwischen den Abtauzyklen;;MINUTES;;min;;r/w;;03/16;;D;;D03;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1108;0x0454;yes;no;Heißgastemperaturkorrektur für den Abtauzyklus;;TEMP1;;;;r/w;;03/16;;D;;D04;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1109;0x0455;yes;no;Abtau-Saugsdruck 1;;DIGI5;;;;r/w;;03/16;;D;;D05-1;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1110;0x0456;yes;no;Abtau-Saugsdruck 2;;DIGI5;;;;r/w;;03/16;;D;;D05-2;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
1111;0x0457;yes;no;Abtauzykluszeitkorrektur;;DIGI1;;;;r/w;;03/16;;D;;D06;;;;;;;;;MAIN_ONLY;Register exists only in main mapping.
